Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3,seed
0,-2,6,3.4880938414962434e-05,4.055083792245536e-06,1.4420904664836787e-05,1195243081
0,-2,7,3.848165512832143e-05,6.734422859522129e-06,1.6545416938130878e-06,964568808
0,-2,8,0.00011535749945441854,9.743869843474769e-06,2.1352675877049465e-06,1200865974
0,-2,9,0.00010877265568970463,1.2365556466025495e-05,1.626578572399856e-06,1348504540
0,-2,10,0.0002410575408594739,2.147033603458984e-05,1.4859363167713256e-06,473855810
0,-2,11,8.195297110454621e-05,1.2670640352315373e-05,1.3933027719770053e-06,249970320
0,-2,12,0.00011228115846230817,1.3982304292328679e-05,2.66230209170585e-06,1327146373
0,-1,1,3.8243543503210434e-05,1.5202496103766225e-05,2.4051442307623684e-05,988501427
0,-1,2,2.3435747255007795e-05,8.910150410525853e-06,1.040173363745186e-05,849264986
0,-1,4,3.8295904887204154e-05,1.7334590228105933e-05,3.4473630276137275e-06,140355618
0,-1,5,2.1067533688702562e-05,9.012017448908074e-06,1.7584058256689771e-06,1544548803
0,-1,6,1.8933698622222288e-05,9.01735421421498e-06,4.179530907372586e-06,429441886
0,-1,7,6.369331445621722e-05,3.219952966254869e-05,3.7447559303526983e-06,538261454
0,-1,8,9.976203701229335e-05,4.163951843815045e-05,1.0608569955904633e-06,131173046
0,-1,9,0.0004880505484516238,0.0002361114226696265,1.6134944420836708e-06,2071925837
0,-1,10,9.450929141573322e-05,3.741011232224218e-05,1.2267690608055208e-06,1544491220
0,-1,11,8.130902018304609e-05,3.517656194843438e-05,2.54929944350982e-06,2046552449
0,-1,12,7.312680865166628e-05,3.158432177744096e-05,2.9740541751521893e-06,1888838670
0,1,2,3.089658921516664e-05,1.7687525926095458e-05,1.0429876888166088e-05,715945843
0,1,4,3.193235237509211e-05,1.832712708872511e-05,2.461237403257975e-06,259607841
0,1,5,2.5832184898514413e-05,1.3882541286008035e-05,1.4078965422717797e-06,99549332
0,1,6,1.8049456288364805e-05,9.71694265158988e-06,1.0907094161101548e-06,1363245224
0,1,7,3.274978789040431e-05,1.7446039750901642e-05,2.1152780855670465e-06,690392600
0,1,8,5.509824088161705e-05,3.467086231007292e-05,8.77219522669697e-07,382279133
0,1,9,0.00017248583518783894,9.064350230346704e-05,1.423107752689193e-06,1818905018
0,1,10,5.498416796288539e-05,3.2502753998772166e-05,1.1478530864033216e-06,865383196
0,1,11,0.000143451717387241,7.804356540625412e-05,1.7593389604964942e-06,1947981778
0,1,12,0.000258250222254238,0.00014121285303029003,1.694061427662354e-06,1656019666
0,2,4,1.1747353378011831e-05,4.0166181647765836e-06,6.881080340856844e-07,906145415
0,2,5,2.4979578978626706e-05,6.4953359669637275e-06,6.755373063009474e-06,74829278
0,2,6,2.548482198892435e-05,1.3491119072207857e-05,1.4344209367494464e-06,1548444162
0,2,7,3.6622303004566244e-05,1.2358158090522843e-05,8.890762422672193e-07,218901055
0,2,8,3.3988536806391886e-05,1.4590681928196565e-05,1.648736020123221e-06,212065137
0,2,9,4.77576740689487e-05,1.6305146833356963e-05,1.3749370715454107e-06,1868618882
0,2,10,3.605657851401362e-05,1.6585962884391525e-05,1.3117629623102241e-06,1167504599
0,2,11,0.00032163757638886085,0.00015353456296060146,8.989805031906613e-06,2048028817
0,2,12,3.0211819618960405e-05,1.1003285250135659e-05,2.3113837895343414e-06,1978268909
0,4,5,1.6383586673416897e-05,2.285923573948116e-06,2.9571751291297355e-06,402796250
0,4,6,9.645044470025749e-06,8.785376763447545e-07,6.451383638381284e-07,842507514
0,4,7,1.5776137168141184e-05,1.675127419694955e-06,7.129795385981689e-06,221274589
0,4,8,1.4287536942153294e-05,9.106130253443472e-07,6.629141131651932e-06,1528544
0,4,9,1.732861092218771e-05,6.178097584164772e-07,1.0305094702679398e-06,614623306
0,4,10,1.0357201581084211e-05,2.026355163972583e-06,7.381096995701836e-06,928017845
0,4,11,3.0565154169906574e-05,1.379181008343084e-06,1.5658986282523839e-06,1890879262
0,4,12,2.4127317696223585e-05,7.927294216511924e-07,1.5900272045113896e-06,111479875
0,5,6,1.8765872162195787e-05,2.020063339121102e-06,1.3889307604592506e-06,1240703644
0,5,7,1.0707438152494475e-05,1.9578725091028726e-06,2.2963731033085e-06,6008741
0,5,8,1.9236201360707158e-05,1.376471403453148e-06,1.378619145001088e-06,878138450
0,5,9,1.8795357856789112e-05,1.1810129709189586e-06,1.0819784301368713e-06,1695224806
0,5,10,1.4696089709025281e-05,5.5928740516017655e-06,1.79159510844831e-06,946861457
0,5,11,3.376956200745652e-05,1.3235533844166576e-06,8.719608004004402e-07,2113841034
0,5,12,1.9329242713615608e-05,2.6367004361864688e-06,1.406523831354774e-06,2133639821
0,6,7,1.865939811137773e-05,1.9327754980855785e-06,2.3269013026360315e-06,1730357841
0,6,8,2.106083403572988e-05,1.6214176419326083e-06,1.4468733922901144e-06,1003285365
0,6,9,2.2354682155218363e-05,4.528905139325857e-06,3.1383147575690187e-06,1521699609
0,6,10,3.6942869638437474e-05,8.28405413553831e-06,1.1361370875784876e-05,1608604866
