Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3,init_lr,weight_decay,layers,layer_width,activation,epochs
0,5,8,9.588875913802192e-05,1.4301720625734023e-05,6.9078111112233324e-06,0.001,1e-08,5,25,Tanh,200
0,5,8,6.865665404772012e-05,1.1780853731645639e-05,5.658351799182883e-06,0.001,1e-08,5,50,ReLU,200
0,5,8,7.282554249664465e-05,2.332778592731243e-05,1.4466282608479509e-05,0.001,1e-08,5,50,Tanh,200
0,5,8,3.2547130905973045e-05,1.1733844009795893e-05,4.374154564516813e-06,0.001,1e-08,5,100,ReLU,200
0,5,8,7.065497142867901e-05,4.4967409200464935e-06,3.0158890774550387e-06,0.001,1e-08,5,100,Tanh,200
0,5,8,0.0001514445191489009,3.186258749433429e-05,2.4010575620729727e-05,0.001,1e-08,5,150,ReLU,200
0,5,8,0.00010220723029860314,5.5573858113133114e-05,1.510972717630675e-05,0.001,1e-08,5,150,Tanh,200
0,5,8,0.00010932709390094212,1.612667186672565e-05,6.7677552910152664e-06,0.001,1e-08,10,25,ReLU,200
0,5,8,0.00010469011900261033,5.459333963714287e-06,4.074522257720707e-06,0.001,1e-08,10,25,Tanh,200
0,5,8,3.425601450192865e-05,1.0412016877562546e-05,5.222719099477584e-06,0.001,1e-08,10,50,ReLU,200
0,5,8,0.00029645644071600325,0.0006109597391374074,0.0004257771565716709,0.001,1e-08,10,50,Tanh,200
0,5,8,4.8264722371807205e-05,1.1913493218213447e-05,9.788845702638253e-06,0.001,1e-08,10,100,ReLU,200
0,5,8,0.004145857055323213,0.001853697042963557,0.0015665247103566653,0.001,1e-08,10,100,Tanh,200
0,5,8,3.6682908456468714e-05,1.0508097194398378e-05,5.485183563940651e-06,0.001,1e-08,10,150,ReLU,200
0,5,8,0.003661342990641683,0.0007388104718759668,0.000454999029957035,0.001,1e-08,10,150,Tanh,200
0,5,8,5.234880325804905e-05,4.361021564435113e-06,2.8017739226163114e-06,0.001,1e-07,2,25,ReLU,200
0,5,8,5.216483652931877e-05,4.242505763392908e-06,7.793182097999636e-06,0.001,1e-07,2,25,Tanh,200
0,5,8,7.935633684356581e-05,7.070575915775396e-06,3.3644775588626144e-06,0.001,1e-07,2,50,ReLU,200
